ID,climate_change_perception,tampering,maturity,benefit,cost,risk,trust,emotion,distance,dac_knowledge,storage_knowledge,initial_storage_support,final_storage_support,initial_dac_support,final_dac_support,age,gender,education,occupation,state,trust_in_science,trust_in_politics,trust_in_industry,trust_in_un,trust_in_eu,trust_in_ngos,trust_in_media
100880963,5.0,3.6666666666666665,3.0,3.6666666666666665,4.0,3.2,3.857142857142857,2.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,5.0,1.0,7.0,3.0,2.0,5.0,2.0,4.0,4.0,4.0,5.0,3.0
100817160,4.0,3.3333333333333335,2.0,3.0,3.0,2.8,3.4285714285714284,1.0,5.0,1.0,2.0,3.0,3.0,3.0,3.0,6.0,1.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0
100757002,5.0,2.3333333333333335,3.0,2.0,4.0,2.8,3.4285714285714284,2.0,2.0,2.0,2.0,5.0,4.0,5.0,4.0,3.0,1.0,8.0,4.0,7.0,5.0,2.0,2.0,3.0,4.0,5.0,3.0
100744609,5.0,2.3333333333333335,2.0,3.6666666666666665,3.5,3.2,3.5714285714285716,1.0,3.6666666666666665,2.0,3.0,4.0,4.0,3.0,3.0,6.0,1.0,7.0,6.0,7.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0
100622046,1.75,2.0,2.0,1.6666666666666667,2.5,2.2,1.7142857142857142,1.0,5.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,14.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0
100600725,5.0,3.0,4.0,3.3333333333333335,3.0,3.2,3.5714285714285716,2.0,3.0,1.0,2.0,5.0,4.0,5.0,4.0,6.0,2.0,5.0,6.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0
100562630,5.0,3.6666666666666665,3.0,3.6666666666666665,3.0,3.0,4.0,2.0,2.6666666666666665,3.0,3.0,3.0,2.0,3.0,4.0,6.0,1.0,6.0,6.0,1.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0
100470497,4.25,2.0,3.0,4.0,3.0,3.2,4.0,2.0,2.3333333333333335,3.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,7.0,2.0,7.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0
100390703,4.75,2.3333333333333335,4.0,4.666666666666667,3.0,3.6,3.4285714285714284,2.0,2.6666666666666665,3.0,3.0,2.0,4.0,5.0,5.0,6.0,2.0,3.0,6.0,4.0,5.0,1.0,1.0,4.0,4.0,5.0,4.0
100388137,4.75,4.0,3.0,2.0,4.0,3.0,3.2857142857142856,1.0,4.333333333333333,3.0,3.0,2.0,1.0,5.0,4.0,5.0,1.0,8.0,2.0,14.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0
100366041,2.25,3.3333333333333335,4.0,2.6666666666666665,2.5,3.2,1.7142857142857142,2.0,3.6666666666666665,2.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0
100360494,5.0,4.0,2.0,2.0,3.0,3.2,3.142857142857143,1.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,6.0,1.0,6.0,4.0,11.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0
100360301,4.0,3.3333333333333335,4.0,3.3333333333333335,3.5,3.0,4.285714285714286,2.0,4.666666666666667,1.0,1.0,4.0,5.0,4.0,5.0,4.0,2.0,7.0,2.0,10.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0
100354369,5.0,3.3333333333333335,2.0,2.6666666666666665,3.5,3.4,3.0,1.0,4.333333333333333,1.0,3.0,4.0,3.0,4.0,3.0,5.0,2.0,8.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
100335756,5.0,4.666666666666667,3.0,1.6666666666666667,3.0,2.6,3.857142857142857,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0
100328955,5.0,2.3333333333333335,3.0,3.3333333333333335,4.5,3.2,2.7142857142857144,1.0,3.0,1.0,2.0,3.0,4.0,5.0,4.0,3.0,2.0,7.0,2.0,10.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0
100319886,5.0,3.6666666666666665,2.0,2.3333333333333335,3.0,2.8,3.857142857142857,1.0,5.0,1.0,1.0,5.0,2.0,3.0,4.0,5.0,2.0,5.0,2.0,6.0,5.0,4.0,2.0,5.0,4.0,5.0,2.0
100304224,5.0,1.0,3.0,4.0,2.5,2.4,4.714285714285714,2.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,6.0,1.0,7.0,3.0,10.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0
100294728,5.0,3.3333333333333335,3.0,3.0,4.5,3.0,3.0,2.0,4.333333333333333,3.0,3.0,5.0,4.0,4.0,4.0,6.0,1.0,4.0,6.0,10.0,4.0,2.0,2.0,3.0,2.0,5.0,3.0
100288697,4.5,2.3333333333333335,3.0,3.3333333333333335,3.0,3.0,2.142857142857143,2.0,2.6666666666666665,1.0,1.0,5.0,4.0,5.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,4.0,1.0
100277570,3.5,3.3333333333333335,2.0,3.3333333333333335,3.0,3.0,2.142857142857143,2.0,4.333333333333333,2.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,2.0
100267613,5.0,3.6666666666666665,3.0,3.0,4.0,2.8,2.7142857142857144,2.0,4.0,3.0,3.0,5.0,2.0,5.0,2.0,6.0,1.0,7.0,6.0,16.0,4.0,2.0,2.0,4.0,2.0,4.0,1.0
100266924,5.0,1.6666666666666667,3.0,4.0,3.0,3.0,3.5714285714285716,2.0,1.6666666666666667,1.0,2.0,5.0,5.0,3.0,5.0,4.0,1.0,8.0,2.0,7.0,5.0,2.0,4.0,4.0,4.0,4.0,2.0
100262548,3.25,4.0,3.0,2.6666666666666665,3.0,3.6,1.8571428571428572,1.0,5.0,3.0,3.0,2.0,1.0,3.0,3.0,5.0,1.0,7.0,2.0,4.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0
100260880,5.0,1.6666666666666667,3.0,4.0,4.0,2.6,3.857142857142857,2.0,2.6666666666666665,3.0,3.0,4.0,5.0,4.0,5.0,6.0,1.0,7.0,6.0,10.0,5.0,4.0,4.0,2.0,4.0,5.0,3.0
100251185,5.0,1.0,5.0,5.0,3.0,3.8,2.4285714285714284,2.0,2.3333333333333335,2.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,7.0,4.0,10.0,4.0,2.0,1.0,2.0,1.0,4.0,3.0
100250547,5.0,5.0,3.0,1.3333333333333333,3.0,3.2,1.4285714285714286,1.0,5.0,1.0,2.0,4.0,1.0,3.0,1.0,6.0,1.0,3.0,2.0,13.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
100250543,3.75,3.0,3.0,3.3333333333333335,2.5,2.8,2.0,2.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,6.0,1.0,4.0,6.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0
100244240,5.0,4.0,2.0,2.6666666666666665,4.0,3.4,4.285714285714286,1.0,5.0,1.0,2.0,2.0,1.0,3.0,3.0,5.0,1.0,6.0,6.0,9.0,5.0,5.0,2.0,5.0,4.0,5.0,4.0
100243516,5.0,4.0,4.0,3.3333333333333335,4.0,2.8,2.142857142857143,2.0,3.0,2.0,3.0,5.0,5.0,4.0,4.0,5.0,1.0,7.0,2.0,11.0,5.0,1.0,2.0,1.0,1.0,3.0,2.0
100220353,4.0,2.0,3.0,2.6666666666666665,3.0,3.0,2.7142857142857144,2.0,5.0,1.0,1.0,3.0,5.0,3.0,5.0,5.0,1.0,5.0,6.0,2.0,4.0,2.0,1.0,2.0,2.0,5.0,3.0
100214106,4.0,3.3333333333333335,3.0,3.0,3.5,3.4,3.4285714285714284,2.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,11.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0
100208842,3.25,4.333333333333333,3.0,3.6666666666666665,3.0,3.4,1.4285714285714286,2.0,5.0,1.0,2.0,3.0,1.0,3.0,1.0,4.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0
100206199,5.0,2.0,3.0,4.333333333333333,4.5,2.8,4.428571428571429,2.0,2.3333333333333335,3.0,3.0,2.0,2.0,4.0,5.0,6.0,1.0,6.0,6.0,7.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0
100197841,4.75,3.3333333333333335,2.0,2.3333333333333335,3.5,3.4,3.5714285714285716,2.0,5.0,2.0,3.0,2.0,1.0,4.0,2.0,6.0,1.0,4.0,6.0,2.0,5.0,4.0,2.0,4.0,4.0,4.0,2.0
100197605,4.5,1.0,3.0,1.6666666666666667,4.0,3.6,2.5714285714285716,1.0,2.6666666666666665,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,5.0,1.0,1.0,1.0,4.0,5.0,1.0
100195238,5.0,2.6666666666666665,3.0,3.0,4.0,3.2,2.5714285714285716,2.0,5.0,1.0,2.0,4.0,3.0,3.0,3.0,5.0,2.0,7.0,4.0,7.0,5.0,2.0,1.0,3.0,2.0,2.0,3.0
100191992,1.5,3.6666666666666665,1.0,1.0,2.0,2.6,2.4285714285714284,1.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,7.0,2.0,10.0,5.0,2.0,5.0,1.0,1.0,1.0,2.0
100191043,3.5,3.0,4.0,4.0,3.0,2.4,4.142857142857143,2.0,5.0,3.0,1.0,3.0,2.0,3.0,4.0,6.0,2.0,7.0,4.0,10.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0
100188881,5.0,3.0,3.0,3.3333333333333335,4.0,2.8,3.857142857142857,1.0,5.0,2.0,2.0,3.0,4.0,3.0,3.0,5.0,2.0,4.0,2.0,10.0,5.0,4.0,2.0,4.0,4.0,5.0,3.0
100164900,5.0,3.6666666666666665,2.0,3.0,4.0,3.4,3.7142857142857144,1.0,5.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,2.0,7.0,4.0,7.0,5.0,3.0,1.0,5.0,4.0,4.0,4.0
100163326,5.0,1.0,2.0,2.6666666666666665,4.0,3.0,3.142857142857143,2.0,2.6666666666666665,4.0,5.0,5.0,5.0,2.0,2.0,5.0,1.0,7.0,2.0,10.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
100162924,4.75,2.3333333333333335,3.0,3.3333333333333335,4.0,3.0,2.857142857142857,2.0,3.6666666666666665,1.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,7.0,4.0,1.0,5.0,4.0,2.0,3.0,3.0,2.0,1.0
100162561,5.0,2.3333333333333335,3.0,3.6666666666666665,3.0,3.4,2.2857142857142856,2.0,5.0,2.0,2.0,3.0,4.0,3.0,4.0,6.0,2.0,7.0,4.0,10.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0
100159717,5.0,2.6666666666666665,4.0,3.3333333333333335,4.0,3.2,3.142857142857143,2.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,6.0,1.0,7.0,3.0,2.0,4.0,4.0,1.0,4.0,2.0,5.0,2.0
100158499,4.75,3.0,3.0,2.6666666666666665,3.0,2.8,2.5714285714285716,2.0,5.0,1.0,2.0,3.0,3.0,3.0,3.0,6.0,2.0,4.0,6.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0
100151234,4.75,1.6666666666666667,3.0,1.6666666666666667,3.5,3.2,3.0,1.0,4.0,3.0,4.0,3.0,4.0,2.0,1.0,6.0,2.0,8.0,6.0,1.0,5.0,2.0,1.0,4.0,3.0,4.0,2.0
